No,Kabupaten,2014,2015,2016,2017,2018,parent_province_id,parent_province_name
57,Kepulauan Mentawai,686,951,1024,1794,1390,3,Sumatera Barat
58,Pesisir Selalan,30957,30681,30115,29821,23837,3,Sumatera Barat
59,Kota Solok,23230,23178,23192,23159,18674,3,Sumatera Barat
60,Sawahlunto Sijunjung,10380,10380,10056,10157,10503,3,Sumatera Barat
61,Tanah Datar,22933,22945,22944,22608,21879,3,Sumatera Barat
62,Padang Pariaman,22596,22709,22709,22813,18109,3,Sumatera Barat
63,Agam,26366,26361,26418,26489,23625,3,Sumatera Barat
64,Lima Puluh Kota,23392,23388,22585,21872,22184,3,Sumatera Barat
65,Pasaman,21136,21522,19867,19743,20719,3,Sumatera Barat
66,Solok Selatan,9490,9973,10160,10225,7759,3,Sumatera Barat
67,Dharmasraya,6403,6171,6393,6120,4664,3,Sumatera Barat
68,Pasaman Barat,13029,12811,11884,12017,11352,3,Sumatera Barat
69,Kota Padang,6496,6466,6410,6412,5410,3,Sumatera Barat
70,Kota Solok,876,876,876,876,102,3,Sumatera Barat
71,Kota Sawahlunto,1638,1680,1628,1668,1262,3,Sumatera Barat
72,Kota Padang Panjang,630,630,630,630,555,3,Sumatera Barat
73,Kota Bukittinggi,389,389,383,383,370,3,Sumatera Barat
74,Kota Payakumbuh,2740,2745,2744,2742,2863,3,Sumatera Barat
75,Kota Pariaman,2523,2521,2464,2493,2876,3,Sumatera Barat
76,Kuantan Singingi,12255,6367,10126,5652,9451,4,Riau
77,Indragiri Hulu,1866,2447,2056,1828,2979,4,Riau
78,Indragiri Hilir,26302,23010,22597,21458,23769,4,Riau
79,Pelalawan,7211,6547,6454,6548,7536,4,Riau
80,Siak,4673,4614,4816,4602,4468,4,Riau
81,Kampar,7574,4939,4785,4604,7816,4,Riau
82,Rokan Hulu ,3095,2182,1887,1938,3677,4,Riau
83,Bengkalis ,6648,5638,4616,4674,1792,4,Riau
84,Rokan Hilir,13060,12808,10917,14764,22617,4,Riau
85,Kepulauan Meranti,4599,3147,3820,3873,2070,4,Riau
86,Kota Pekanbaru,10,10,9,7,14,4,Riau
87,Kota Dumai,301,296,70,70,57,4,Riau
88,Kerinci,16935,20780,17742,18042,14907,5,Jambi
89,Merangin,8579,8658,9584,12633,11038,5,Jambi
90,Sarolangun,6607,5177,5621,5629,4850,5,Jambi
91,Batang Hari,8947,8645,8940,8145,8269,5,Jambi
92,Muaro Jambi,11208,10613,10617,10865,9562,5,Jambi
93,Tanjung Jabung Timur,22108,16068,17421,17145,28523,5,Jambi
94,Tanjung Jabung Barat,11785,9837,9491,7792,19197,5,Jambi
95,Tebo,4651,4979,7537,7511,4398,5,Jambi
96,Bungo,4775,4909,5436,5705,5383,5,Jambi
97,Kota Jambi,1388,974,1006,1029,1096,5,Jambi
98,Kota Sungai Penuh,4212,4095,3194,3194,3923,5,Jambi
99,Ogan Komering Ulu,5519,5332,5731,5739,1725,6,Sumatera Selatan
100,Ogan Komering lilr,125624,122602,115639,123192,51591,6,Sumatera Selatan
101,Muara Enim,23542,24410,25349,21402,12997,6,Sumatera Selatan
102,Lahat,17411,16879,18017,19211,12325,6,Sumatera Selatan
103,Musi Rawas,19442,20158,22640,23411,12412,6,Sumatera Selatan
104,Musi Banyuasin,49382,50561,50138,51228,28140,6,Sumatera Selatan
105,Banyuasin,194709,197961,192330,192684,153471,6,Sumatera Selatan
106,Ogan Komering Ulu Selatan,17753,17881,17932,17954,6761,6,Sumatera Selatan
107,Ogan Komering Ulu Timur,77639,79666,80820,77315,58209,6,Sumatera Selatan
108,Ogan llir,48985,47242,47693,49631,29514,6,Sumatera Selatan
109,Empat Lawang,12297,13554,13554,13554,8414,6,Sumatera Selatan
110,Penukal Abab Lematang llir ,5847,5814,6912,7964,1952,6,Sumatera Selatan
111,Musi Rawas Utara,6944,6944,6974,6974,1603,6,Sumatera Selatan
112,Kota Palembang,5840,584,5734,5938,3181,6,Sumatera Selatan
113,Kota Prabumulih,500,525,450,450,162,6,Sumatera Selatan
114,Kota Pagar Alam,3412,3412,3392,3340,3646,6,Sumatera Selatan
115,Kota Lubuk Linggau,1907,1851,1879,1916,1134,6,Sumatera Selatan
116,Bengkulu Selatan,10580,9416,9887,10653,9983,7,Bengkulu
117,Rejang Lebong,9719,9840,9841,9841,4726,7,Bengkulu
118,Bengkulu Utara,12397,11181,11088,10696,4429,7,Bengkulu
119,Kaur,8095,8062,8062,5951,5989,7,Bengkulu
120,Seluma,16936,16721,15291,14263,6756,7,Bengkulu
121,Mukomuko,7053,6908,7020,8972,2179,7,Bengkulu
122,Lebong,9605,9576,9578,9566,5762,7,Bengkulu
123,Kepahiang,4744,5226,5225,5205,2622,7,Bengkulu
124,Bengkulu Tengah,7610,6523,6025,5860,4281,7,Bengkulu
125,Kota Bengkulu,2017,1677,1432,1422,1241,7,Bengkulu
126,Lampung Barat,13228,13348,13348,13353,8322,8,Lampung
127,Tanggamus,20633,23017,23017,23009,14154,8,Lampung
128,Lampung Selatan,45785,45785,45755,45634,40397,8,Lampung
129,Lampung Timur,60464,62971,63435,63369,55460,8,Lampung
130,Lampung Tengah,75617,80144,82193,82195,66672,8,Lampung
131,Lampung Utara,17684,18858,18849,18892,10430,8,Lampung
132,Way Kanan,19210,19446,19720,22596,9988,8,Lampung
133,Tulang Bawang,36266,36835,40565,41515,5779,8,Lampung
134,Pesawaran,14757,15465,15465,15855,12821,8,Lampung
135,Pringsewu,13647,13528,13831,13678,13855,8,Lampung
136,Mesuji,22386,24679,30479,31961,6220,8,Lampung
137,Tulang Bawang Barat,11038,11050,11790,11867,5072,8,Lampung
138,Pesisir Barat,8436,8437,8437,8778,6397,8,Lampung
139,Kota Bandar Lampung,947,938,936,918,561,8,Lampung
140,Kota Metro,2957,2962,2979,2979,3053,8,Lampung
141,Bangka,306,670,2248,1553,808,9,Bangka Belitung
142,Belitung,290,410,750,456,614,9,Bangka Belitung
143,Bangka Barat,1554,1574,1640,1618,653,9,Bangka Belitung
144,Bangka Tengah,65,73,73,88,402,9,Bangka Belitung
145,Bangka Selatan,4566,6647,7673,8480,2087,9,Bangka Belitung
146,Belitung Timur,709,1294,1437,1484,846,9,Bangka Belitung
147,Kota Pangkal Pinang,0,0,0,0,0,9,Bangka Belitung
148,Karimun,47,3,18,18,176,10,Kepulauan Riau
149,Bintan,52,15,3,7,75,10,Kepulauan Riau
150,Natuna,169,169,158,158,434,10,Kepulauan Riau
151,Lingga,0,0,51,72,150,10,Kepulauan Riau
152,Kepulauan Anambas,137,59,56,56,384,10,Kepulauan Riau
153,Kota Batam,0,0,0,0,0,10,Kepulauan Riau
154,Kota Tanjung Pinang,0,0,0,0,0,10,Kepulauan Riau
155,Kepulauan Seribu,0,0,0,0,0,11,DKI Jakarta
156,Kota Jakarta Selatan,0,0,0,0,0,11,DKI Jakarta
157,Kota Jakarta Timur,104,74,74,74,117,11,DKI Jakarta
158,Kota Jakarta Pusat,0,0,0,0,0,11,DKI Jakarta
159,Kota Jakarta Barat,146,116,99,89,0,11,DKI Jakarta
160,Kota Jakarta Utara,528,460,408,408,334,11,DKI Jakarta
161,Bogor,44074,40912,40712,37300,47068,12,Jawa Barat
162,Sukabumi,63986,66692,66579,66516,55780,12,Jawa Barat
163,Cianjur,66353,65689,65256,66934,64757,12,Jawa Barat
164,Bandung,34803,34610,34437,33824,31474,12,Jawa Barat
165,Garut,48208,48034,47947,48057,42629,12,Jawa Barat
166,Tasikmalaya,51097,50765,50972,49530,45038,12,Jawa Barat
167,Ciamis,35449,35364,35498,35576,30843,12,Jawa Barat
168,Kuningan,28362,27945,27942,25890,30259,12,Jawa Barat
169,Cirebon,49426,47784,48571,47067,53607,12,Jawa Barat
170,Majalengka,49883,49063,50459,50359,55264,12,Jawa Barat
171,Sumedang,32799,30038,31308,31416,31592,12,Jawa Barat
172,lndramayu,115913,115555,115833,116099,122153,12,Jawa Barat
173,Subang,84365,84228,84364,84570,90889,12,Jawa Barat
174,Purwakarta,17402,17705,18082,18093,19630,12,Jawa Barat
175,Karawang,97529,96482,95876,95506,10205,12,Jawa Barat
176,Bekasi,51887,50971,49405,48382,59267,12,Jawa Barat
177,Bandung Barat,20857,21670,21542,21569,16858,12,Jawa Barat
178,Pangandaran,18187,16426,16481,16564,19025,12,Jawa Barat
179,Kota Bogor,750,321,321,321,310,12,Jawa Barat
180,Kota Sukabumi,1532,1486,1464,1395,1546,12,Jawa Barat
181,Kota Bandung,988,736,712,613,1327,12,Jawa Barat
182,Kota Cirebon,256,267,267,201,208,12,Jawa Barat
183,Kota Bekasi,475,499,464,454,295,12,Jawa Barat
184,Kota Depok,164,150,123,109,0,12,Jawa Barat
185,Kota Cimahi,276,137,143,136,277,12,Jawa Barat
186,Kota Tasikmalaya,5968,5947,5904,12024,5358,12,Jawa Barat
187,Kota Banjar,3318,3318,3313,3311,3107,12,Jawa Barat
188,Cilacap,64277,64692,64692,64692,65478,13,Jawa Tengah
189,Banyumas,31811,32282,32218,31870,30731,13,Jawa Tengah
190,Purbalingga,20622,20322,20463,18982,18854,13,Jawa Tengah
191,Banjarnegara,14369,14524,13493,13311,10248,13,Jawa Tengah
192,Kebumen,39714,39772,39819,39819,43777,13,Jawa Tengah
193,Purworejo,29970,29723,29499,28715,28023,13,Jawa Tengah
194,Wonosobo,15730,15096,14830,14583,11923,13,Jawa Tengah
195,Magelang,34157,34245,34237,33685,27893,13,Jawa Tengah
196,Boyolali,22510,22490,22481,22502,25794,13,Jawa Tengah
197,Klaten,33196,33217,32356,32762,31040,13,Jawa Tengah
198,Sukoharjo,20508,18758,20489,20456,21231,13,Jawa Tengah
199,Wonogiri,30704,30549,30533,29303,41331,13,Jawa Tengah
200,Karanganyar,22080,22158,22025,21937,21925,13,Jawa Tengah
201,Sragen,39907,39363,39625,39697,39719,13,Jawa Tengah
202,Grobogan,80155,80197,80256,80995,85441,13,Jawa Tengah
203,Blora,46079,45969,46345,46423,67342,13,Jawa Tengah
204,Rembang,27642,26913,27354,27560,37988,13,Jawa Tengah
205,Pati,52338,53549,53275,52856,57932,13,Jawa Tengah
206,Kudus,14926,15054,14278,15028,19406,13,Jawa Tengah
207,Jepara,24572,24163,24162,24053,26307,13,Jawa Tengah
208,Demak,48269,49001,49951,49335,59274,13,Jawa Tengah
209,Semarang,22695,22473,22549,22404,20683,13,Jawa Tengah
210,Temanggung,19609,20064,20122,20414,16625,13,Jawa Tengah
211,Kendal,25371,25288,24941,23599,24347,13,Jawa Tengah
212,Batang,21118,20353,21189,20117,18305,13,Jawa Tengah
213,Pekalongan,23606,22236,21911,21075,5969,13,Jawa Tengah
214,Pemalang,37774,37704,36171,35791,34981,13,Jawa Tengah
215,Tegal,37212,36880,37397,36170,18292,13,Jawa Tengah
216,Brebes,59835,62290,61765,58637,65051,13,Jawa Tengah
217,Kota Magelang,210,209,208,206,161,13,Jawa Tengah
218,Kota Surakarta,73,81,75,75,80,13,Jawa Tengah
219,Kota Salatiga,724,674,674,674,619,13,Jawa Tengah
220,Kota Semarang,3179,3368,2679,2434,2387,13,Jawa Tengah
221,Kota Pekalongan,1018,996,992,980,940,13,Jawa Tengah
222,Kota Tegal,687,609,610,610,521,13,Jawa Tengah
223,Kulon Progo,10143,9806,10164,10038,11053,14,D.I. Yogyakarta
224,Bantul,14129,14116,14067,14303,14857,14,D.I. Yogyakarta
225,Gunung Kidul,7854,7718,7862,7861,31896,14,D.I. Yogyakarta
226,Sleman,22230,21856,21834,19083,18129,14,D.I. Yogyakarta
227,Kota Yogyakarta,61,57,58,58,55,14,D.I. Yogyakarta
228,Pacitan,12418,12303,12411,12689,12707,15,Jawa Timur
229,Ponorogo,34338,34352,34547,34536,35676,15,Jawa Timur
230,Trenggalek,11628,11939,12380,12638,12070,15,Jawa Timur
231,Tulungagung,25873,25864,25806,25787,25681,15,Jawa Timur
232,Blitar,31056,30994,30920,31674,33337,15,Jawa Timur
233,Kediri,39147,38201,36683,35388,45501,15,Jawa Timur
234,Malang,40537,36824,36477,37322,45734,15,Jawa Timur
235,Lumajang,34416,33991,35421,34696,36602,15,Jawa Timur
236,Jember,76963,78457,78410,78387,85727,15,Jawa Timur
237,Banyuwangi,59070,55597,52045,48125,69628,15,Jawa Timur
238,Bondowoso,34030,34053,35562,35969,39581,15,Jawa Timur
239,Situbondo,32301,31369,29428,29428,33869,15,Jawa Timur
240,Probolinggo,36198,36138,36200,35955,40537,15,Jawa Timur
241,Pasuruan,40203,39636,39719,40269,37805,15,Jawa Timur
242,Sidoarjo,20771,17517,17402,17541,23060,15,Jawa Timur
243,Mojokerto,30837,31453,30809,30261,37398,15,Jawa Timur
244,Jombang,43430,41977,43284,43344,45960,15,Jawa Timur
245,Nganjuk,42603,41481,41027,40824,48282,15,Jawa Timur
246,Madiun,31002,30741,31620,32031,33116,15,Jawa Timur
247,Magetan,22599,22828,22733,22983,27176,15,Jawa Timur
248,Ngawi,47207,47607,47425,47605,50942,15,Jawa Timur
249,Bojonegoro,77636,77522,77999,78116,89285,15,Jawa Timur
250,Tuban,55117,55739,55914,56230,75455,15,Jawa Timur
251,Lamongan,83844,85122,83601,83560,105079,15,Jawa Timur
252,Gresik,37875,37558,37295,35111,43573,15,Jawa Timur
253,Bangkalan,29540,29180,29180,29180,36022,15,Jawa Timur
254,Sampang,20087,20215,20587,20587,38466,15,Jawa Timur
255,Pamekasan,17056,18672,17794,17711,27324,15,Jawa Timur
256,Sumenep,24834,25330,25330,25330,35804,15,Jawa Timur
257,Kota Kediri,952,1005,1000,927,2655,15,Jawa Timur
258,Kota Blitar,1104,1097,1088,1065,896,15,Jawa Timur
259,Kota Malang,926,865,844,821,1237,15,Jawa Timur
260,Kota Probolinggo,1764,1807,1793,1793,2372,15,Jawa Timur
261,Kota Pasuruan,1093,1093,1071,1045,1084,15,Jawa Timur
262,Kota Mojokerto,520,511,470,477,456,15,Jawa Timur
263,Kota Madiun,893,887,914,871,1077,15,Jawa Timur
264,Kota Surabaya,1423,1353,1398,1194,2232,15,Jawa Timur
265,Kota Batu,474,474,432,403,3952,15,Jawa Timur
266,Pandeglang,54541,54541,54540,54327,50848,16,Banten
267,Lebak,47572,49444,53946,51479,47790,16,Banten
268,Tangerang,38644,36934,36635,36043,39046,16,Banten
269,Serang,48861,48095,47549,47684,49268,16,Banten
270,Kota Tangerang,618,460,460,368,1133,16,Banten
271,Kota Cilegon,1786,1618,1602,1532,1672,16,Banten
272,Kota Serang,8355,8325,8325,7939,8456,16,Banten
273,Kota Tangerang Selatan,103,75,66,36,71,16,Banten
274,Jembrana,6784,6765,6757,6700,6950,17,Bali
275,Tabanan,1978,20664,21308,19729,1923,17,Bali
276,Badung,9219,9105,8909,9365,9068,17,Bali
277,Gianyar,14228,13445,13846,13514,11556,17,Bali
278,Klungkung,3523,3562,3490,3169,3575,17,Bali
279,BangIi,2851,2759,2759,2812,2097,17,Bali
280,Karang Asem,6999,6610,6320,6624,6092,17,Bali
281,Buleleng,10762,10611,10430,10079,8381,17,Bali
282,Kota Denpasar,2509,2401,2277,2287,2131,17,Bali
283,Lombok Barat,16901,17306,17307,1717,14406,18,Nusa Tenggara Barat
284,Lombok Tengah,54269,54309,54353,54355,49253,18,Nusa Tenggara Barat
285,Lombok Timur,45915,46505,47141,47169,40128,18,Nusa Tenggara Barat
286,Sumbawa,56120,56330,59428,61282,53164,18,Nusa Tenggara Barat
287,Dompu,21248,22782,25906,25906,19129,18,Nusa Tenggara Barat
288,Bima,35381,42900,46689,44979,33411,18,Nusa Tenggara Barat
289,Sumbawa Barat,11461,11573,12255,11788,9854,18,Nusa Tenggara Barat
290,Lombok Utara,8674,8701,8966,9336,4950,18,Nusa Tenggara Barat
291,Kota Mataram,2058,1993,1946,1900,1543,18,Nusa Tenggara Barat
292,Kota Bima,2271,2267,2239,2422,1948,18,Nusa Tenggara Barat
293,Sumba Barat,8818,9469,9469,9550,8812,19,Nusa Tenggara Timur
294,Sumba Timur,19709,19069,19193,18826,16179,19,Nusa Tenggara Timur
295,Kupang,18256,19329,20003,19662,11628,19,Nusa Tenggara Timur
296,Timor Tengah Selatan,3893,5929,5831,5459,3548,19,Nusa Tenggara Timur
297,Timor Tengah Utara,9724,8656,7028,9280,6968,19,Nusa Tenggara Timur
298,Belu,646,6631,6599,6879,4322,19,Nusa Tenggara Timur
299,Alor,479,423,701,850,461,19,Nusa Tenggara Timur
300,Lembata,66,46,50,53,157,19,Nusa Tenggara Timur
301,Flores Timur,941,876,1038,1128,366,19,Nusa Tenggara Timur
302,Sikka,2045,2514,2641,2642,1919,19,Nusa Tenggara Timur
303,Ende,5403,6007,6098,6091,542,19,Nusa Tenggara Timur
304,Ngada,6299,6597,6651,6695,6414,19,Nusa Tenggara Timur
305,Manggarai,12706,13255,13532,13632,11465,19,Nusa Tenggara Timur
306,Rote Ndao,1855,17668,19408,19753,12129,19,Nusa Tenggara Timur
307,Manggarai Barat,16133,16660,16796,16835,16788,19,Nusa Tenggara Timur
308,Sumba Tengah,7419,7576,7601,7601,4893,19,Nusa Tenggara Timur
309,Sumba Barat Daya,652,6521,6636,7756,7463,19,Nusa Tenggara Timur
310,Nagekeo,4681,5418,5932,5777,7706,19,Nusa Tenggara Timur
311,Manggarai Timur,14592,13890,14964,15032,14122,19,Nusa Tenggara Timur
312,Sabu Raijua,1381,1413,2136,2072,731,19,Nusa Tenggara Timur
313,Malaka,8592,8909,8401,8401,4172,19,Nusa Tenggara Timur
314,Kota Kupang,287,382,331,372,409,19,Nusa Tenggara Timur
315,Sambas,64643,64967,66889,62365,34194,20,Kalimantan Barat
316,Bengkayang,24079,20178,17525,20693,7250,20,Kalimantan Barat
317,Landak,44387,45579,52983,54724,20864,20,Kalimantan Barat
318,Mempawah,17385,16504,16492,15891,10206,20,Kalimantan Barat
319,Sanggau,27283,32027,41656,48837,12060,20,Kalimantan Barat
320,Ketapang,23527,27293,36536,38211,19938,20,Kalimantan Barat
321,Sintang,1334,9997,12629,13402,3773,20,Kalimantan Barat
322,Kapuas Hulu,11861,16799,11542,13391,3971,20,Kalimantan Barat
323,Sekadau,668,6781,7566,8561,4872,20,Kalimantan Barat
324,Melawi,6099,5893,5794,6078,1054,20,Kalimantan Barat
325,Kayong Utara,20378,20426,20379,19852,10913,20,Kalimantan Barat
326,Kubu Raya,6096,6096,63501,63501,23795,20,Kalimantan Barat
327,Kota Pontianak,179,174,177,207,342,20,Kalimantan Barat
328,Kota Singkawang,3158,3146,3072,3015,2586,20,Kalimantan Barat
329,Kotawaringin Barat,4001,5322,3527,3137,6382,21,Kalimantan Tengah
330,Kotawaringin Timur,24651,24768,27018,19629,10654,21,Kalimantan Tengah
331,Kapuas,88434,95624,92484,85131,97202,21,Kalimantan Tengah
332,Barito Selatan,33604,561,5788,6043,5482,21,Kalimantan Tengah
333,Barito Utara,2249,2576,3368,3304,2036,21,Kalimantan Tengah
334,Sukamara,3501,3368,3694,2581,2952,21,Kalimantan Tengah
335,Lamandau,925,794,640,585,1419,21,Kalimantan Tengah
336,Seruyan,1767,484,1796,2999,3703,21,Kalimantan Tengah
337,Katingan,17082,10464,11824,11528,14548,21,Kalimantan Tengah
338,Pulang Pisau,2928,33414,35411,35098,33208,21,Kalimantan Tengah
339,Gunung Mas,554,333,333,333,582,21,Kalimantan Tengah
340,Barito Timur,9358,9579,8843,9374,8457,21,Kalimantan Tengah
341,Murung Raya,137,120,55,291,69,21,Kalimantan Tengah
342,Kota Palangka Raya,2,1,1,1,315,21,Kalimantan Tengah
343,Tanah Laut,42169,44403,44832,47104,20920,22,Kalimantan Selatan
344,Kota Baru,10518,10347,10409,11041,3276,22,Kalimantan Selatan
345,Banjar,62125,64839,64415,56256,47920,22,Kalimantan Selatan
346,Barito Kuala,94674,98172,104161,100049,60482,22,Kalimantan Selatan
347,Tapin,58903,64952,62025,63455,28511,22,Kalimantan Selatan
348,Hulu Sungai Selatan,36356,39110,42392,44074,24492,22,Kalimantan Selatan
349,Hulu Sungai Tengah,38395,38445,37802,37696,25777,22,Kalimantan Selatan
350,Hulu Sungai Utara,24150,26826,25065,25199,16730,22,Kalimantan Selatan
351,Tabalong,14269,14483,15107,15115,8264,22,Kalimantan Selatan
352,Tanah Bumbu,17362,16034,14439,14620,5908,22,Kalimantan Selatan
353,Balangan,28789,28789,29705,29535,7273,22,Kalimantan Selatan
354,Kota Banjarmasin,1985,1953,1953,1958,1747,22,Kalimantan Selatan
355,Kota Banjar Baru,1742,1799,1816,1816,1671,22,Kalimantan Selatan
356,Paser,4687,5797,5749,7546,4192,23,Kalimantan Timur
357,Kutai Barat,4503,5132,2633,2329,945,23,Kalimantan Timur
358,Kutai Kartanegara,20578,21999,20424,20987,18460,23,Kalimantan Timur
359,Kutai Timur,6025,6025,9437,9437,1730,23,Kalimantan Timur
360,Berau,5121,4922,4716,5419,2082,23,Kalimantan Timur
361,Penajam Paser Utara,11083,11094,10994,10961,7520,23,Kalimantan Timur
362,Mahakam Hulu,,100,120,133,0,23,Kalimantan Timur
363,Kota Balikpapan,376,157,157,148,148,23,Kalimantan Timur
364,Kota Samarinda,3042,1787,2201,2392,1273,23,Kalimantan Timur
365,Kota Bontang,70,74,74,74,49,23,Kalimantan Timur
366,Malinau,2934,2919,4840,1178,3079,24,Kalimantan Utara
367,Bulungan,13366,13366,10944,10918,6577,24,Kalimantan Utara
368,Nunukan,4894,431,206,190,3972,24,Kalimantan Utara
369,Tana Tidung,5460,4692,4490,5866,628,24,Kalimantan Utara
370,Kota Tarakan,35,40,40,37,9,24,Kalimantan Utara
371,Bolaang Mongondow,26076,23975,27462,26586,20646,25,Sulawesi Utara
372,Minahasa,7140,7415,7307,7307,7566,25,Sulawesi Utara
373,Kepulauan Sangihe,28,46,42,42,9,25,Sulawesi Utara
374,Kepulauan Talaud,433,304,751,751,212,25,Sulawesi Utara
375,Minahasa Selatan,4507,5691,5610,6043,5378,25,Sulawesi Utara
376,Minahasa Utara,3571,3596,3748,3748,3197,25,Sulawesi Utara
377,Bolaang Mongondow Utara,852,5635,5573,5832,5734,25,Sulawesi Utara
378,Kepulauan Siau Tagulandang Biaro,0,0,0,0,0,25,Sulawesi Utara
379,Minahasa Tenggara,2864,3233,3221,3284,3003,25,Sulawesi Utara
380,Bolaang Mongondow Selatan,2687,1836,2595,1970,1332,25,Sulawesi Utara
381,Bolaang Mongondow Timur,1929,1558,1665,1734,1484,25,Sulawesi Utara
382,Kota Manado,0,0,0,0,67,25,Sulawesi Utara
383,Kota Bitung,124,76,76,76,43,25,Sulawesi Utara
384,Kota Tomohon,878,831,882,882,672,25,Sulawesi Utara
385,Kota Kotamobagu,1718,1629,1629,1629,2894,25,Sulawesi Utara
386,Banggai Kepulauan,584,584,584,552,606,26,Sulawesi Tengah
387,Banggai,22668,23730,24386,25099,21836,26,Sulawesi Tengah
388,Morowali,5446,5848,5940,6020,5180,26,Sulawesi Tengah
389,Poso,20907,12027,17360,19031,12057,26,Sulawesi Tengah
390,Donggala,14246,12638,12646,12987,10637,26,Sulawesi Tengah
391,Toli Toli,13616,13397,13443,13366,12594,26,Sulawesi Tengah
392,Buol,5258,5001,3994,4468,5419,26,Sulawesi Tengah
393,Parigi Moutong,30133,27638,27258,27331,22740,26,Sulawesi Tengah
394,Tojo Una-Una,2008,1101,1509,1513,1214,26,Sulawesi Tengah
395,Sigi,17882,16905,15435,15117,20723,26,Sulawesi Tengah
396,Banggai Laut,0,0,0,0,2,26,Sulawesi Tengah
397,Morowali Utara,8186,9725,9545,10693,5808,26,Sulawesi Tengah
398,Kota Palu,514,420,390,365,854,26,Sulawesi Tengah
399,Kepulauan Selayar,3572,3572,3825,3825,1509,27,Sulawesi Selatan
400,Bulukumba,22444,22797,22901,22958,22321,27,Sulawesi Selatan
401,Bantaeng,7829,7829,7829,7829,10279,27,Sulawesi Selatan
