No,Kabupaten,2014,2015,2016,2017,2018,parent_province_id,parent_province_name
279,BangIi,41561,31024,30657,31652,27019,17,Bali
280,Karang Asem,102030,74327,70226,74561,78492,17,Bali
281,Buleleng,156886,119316,115895,113451,107985,17,Bali
282,Kota Denpasar,36576,26998,25301,25743,27457,17,Bali
283,Lombok Barat,140675,158069,131268,15295,92357,18,Nusa Tenggara Barat
284,Lombok Tengah,451705,496045,412250,484197,315762,18,Nusa Tenggara Barat
285,Lombok Timur,382171,424765,357550,420184,257261,18,Nusa Tenggara Barat
286,Sumbawa,467112,514504,450743,545903,340835,18,Nusa Tenggara Barat
287,Dompu,176857,208085,196489,230772,122636,18,Nusa Tenggara Barat
288,Bima,294492,391838,354121,400675,214198,18,Nusa Tenggara Barat
289,Sumbawa Barat,95395,105705,92950,105008,63174,18,Nusa Tenggara Barat
290,Lombok Utara,72198,79473,68004,83166,31735,18,Nusa Tenggara Barat
291,Kota Mataram,17130,18204,14760,16925,9892,18,Nusa Tenggara Barat
292,Kota Bima,18903,20706,16982,21575,12489,18,Nusa Tenggara Barat
293,Sumba Barat,50363,50652,48350,56510,56166,19,Nusa Tenggara Timur
294,Sumba Timur,112565,102005,98001,111398,103121,19,Nusa Tenggara Timur
295,Kupang,104266,103395,102137,116345,74114,19,Nusa Tenggara Timur
296,Timor Tengah Selatan,22234,31716,29774,32302,22614,19,Nusa Tenggara Timur
297,Timor Tengah Utara,55537,46303,35886,54912,44412,19,Nusa Tenggara Timur
298,Belu,3690,35471,33695,40705,27547,19,Nusa Tenggara Timur
299,Alor,2736,2263,3579,5030,2938,19,Nusa Tenggara Timur
300,Lembata,377,246,255,314,1001,19,Nusa Tenggara Timur
301,Flores Timur,5374,4686,5300,6675,2333,19,Nusa Tenggara Timur
302,Sikka,11680,13448,13485,15633,12231,19,Nusa Tenggara Timur
303,Ende,30858,32133,31137,36042,3455,19,Nusa Tenggara Timur
304,Ngada,35976,35289,33961,39616,40881,19,Nusa Tenggara Timur
305,Manggarai,72568,70904,69096,80664,73075,19,Nusa Tenggara Timur
306,Rote Ndao,10595,94510,99099,116883,77307,19,Nusa Tenggara Timur
307,Manggarai Barat,92141,89118,85762,99617,107003,19,Nusa Tenggara Timur
308,Sumba Tengah,42372,40526,38811,44977,31187,19,Nusa Tenggara Timur
309,Sumba Barat Daya,3724,34882,33884,45894,47567,19,Nusa Tenggara Timur
310,Nagekeo,26735,28982,30289,34184,49116,19,Nusa Tenggara Timur
311,Manggarai Timur,83340,74301,76408,88948,90010,19,Nusa Tenggara Timur
312,Sabu Raijua,7887,7558,10907,12261,4659,19,Nusa Tenggara Timur
313,Malaka,49072,47656,42896,49711,26591,19,Nusa Tenggara Timur
314,Kota Kupang,1639,2043,1690,2201,2607,19,Nusa Tenggara Timur
315,Sambas,353418,300438,255848,236443,175496,20,Kalimantan Barat
316,Bengkayang,131645,93313,67033,78453,37210,20,Kalimantan Barat
317,Landak,242674,210779,202658,207474,107082,20,Kalimantan Barat
318,Mempawah,95048,76322,63081,60247,52381,20,Kalimantan Barat
319,Sanggau,149162,148108,159333,185155,61896,20,Kalimantan Barat
320,Ketapang,128627,126216,139749,144869,102329,20,Kalimantan Barat
321,Sintang,7293,46231,48306,50811,19364,20,Kalimantan Barat
322,Kapuas Hulu,64847,77687,44148,50769,20381,20,Kalimantan Barat
323,Sekadau,3652,31359,28940,32457,25005,20,Kalimantan Barat
324,Melawi,33345,27252,22162,23043,5410,20,Kalimantan Barat
325,Kayong Utara,111411,94459,77949,75265,56010,20,Kalimantan Barat
326,Kubu Raya,33328,28191,242889,240750,122125,20,Kalimantan Barat
327,Kota Pontianak,979,805,677,785,1755,20,Kalimantan Barat
328,Kota Singkawang,17266,14549,11750,11431,13272,20,Kalimantan Barat
329,Kotawaringin Barat,17726,25365,14024,13450,17567,21,Kalimantan Tengah
330,Kotawaringin Timur,109215,118046,107425,84159,29327,21,Kalimantan Tengah
331,Kapuas,391801,455752,367722,364998,267562,21,Kalimantan Tengah
332,Barito Selatan,148880,2674,23013,25909,15090,21,Kalimantan Tengah
333,Barito Utara,9964,12277,13391,14166,5604,21,Kalimantan Tengah
334,Sukamara,15511,16052,14688,11066,8126,21,Kalimantan Tengah
335,Lamandau,4098,3784,2545,2508,3906,21,Kalimantan Tengah
336,Seruyan,7829,2307,7141,12858,10193,21,Kalimantan Tengah
337,Katingan,75681,49872,47013,49426,40045,21,Kalimantan Tengah
338,Pulang Pisau,12972,159254,140796,150482,91410,21,Kalimantan Tengah
339,Gunung Mas,2454,1587,1324,1428,1602,21,Kalimantan Tengah
340,Barito Timur,41460,45654,35160,40191,23279,21,Kalimantan Tengah
341,Murung Raya,607,572,219,1248,190,21,Kalimantan Tengah
342,Kota Palangka Raya,9,5,4,4,867,21,Kalimantan Tengah
343,Tanah Laut,204727,211117,228402,257896,109780,22,Kalimantan Selatan
344,Kota Baru,51064,49195,53030,60450,17191,22,Kalimantan Selatan
345,Banjar,301612,308281,328170,308003,251465,22,Kalimantan Selatan
346,Barito Kuala,459634,466765,530661,547772,317386,22,Kalimantan Selatan
347,Tapin,285969,308818,315994,347418,149615,22,Kalimantan Selatan
348,Hulu Sungai Selatan,176505,185951,215971,241307,128524,22,Kalimantan Selatan
349,Hulu Sungai Tengah,186404,182789,192587,206387,135268,22,Kalimantan Selatan
350,Hulu Sungai Utara,117246,127546,127697,137965,87792,22,Kalimantan Selatan
351,Tabalong,69275,68860,76964,82755,43366,22,Kalimantan Selatan
352,Tanah Bumbu,84291,76235,73561,80045,31003,22,Kalimantan Selatan
353,Balangan,139768,136879,151336,161705,38166,22,Kalimantan Selatan
354,Kota Banjarmasin,9637,9286,9950,10720,9168,22,Kalimantan Selatan
355,Kota Banjar Baru,8457,8553,9252,9943,8769,22,Kalimantan Selatan
356,Paser,36034,41510,31066,50806,30263,23,Kalimantan Timur
357,Kutai Barat,34619,36749,14228,15681,6822,23,Kalimantan Timur
358,Kutai Kartanegara,158203,157528,110366,141301,133268,23,Kalimantan Timur
359,Kutai Timur,46320,43143,50995,63537,12489,23,Kalimantan Timur
360,Berau,39370,35245,25484,36485,15031,23,Kalimantan Timur
361,Penajam Paser Utara,85206,79441,59408,73798,54289,23,Kalimantan Timur
362,Mahakam Hulu,0,716,648,895,0,23,Kalimantan Timur
363,Kota Balikpapan,2891,1124,848,996,1068,23,Kalimantan Timur
364,Kota Samarinda,23387,12796,11894,16105,9190,23,Kalimantan Timur
365,Kota Bontang,538,530,400,498,354,23,Kalimantan Timur
366,Malinau,12710,15257,19307,4911,9727,24,Kalimantan Utara
367,Bulungan,57903,69860,43655,45518,20777,24,Kalimantan Utara
368,Nunukan,21201,2253,822,792,12548,24,Kalimantan Utara
369,Tana Tidung,23653,24524,17911,24456,1984,24,Kalimantan Utara
370,Kota Tarakan,152,209,160,154,28,24,Kalimantan Utara
371,Bolaang Mongondow,315007,289533,307514,344444,129215,25,Sulawesi Utara
372,Minahasa,86254,89547,81822,94668,47352,25,Sulawesi Utara
373,Kepulauan Sangihe,338,556,470,544,56,25,Sulawesi Utara
374,Kepulauan Talaud,5231,3671,8410,9730,1327,25,Sulawesi Utara
375,Minahasa Selatan,54446,68727,62820,78292,33659,25,Sulawesi Utara
376,Minahasa Utara,43139,43427,41969,48558,20009,25,Sulawesi Utara
377,Bolaang Mongondow Utara,10292,68051,62405,75558,35887,25,Sulawesi Utara
378,Kepulauan Siau Tagulandang Biaro,0,0,0,0,0,25,Sulawesi Utara
379,Minahasa Tenggara,34598,39043,36068,42547,18795,25,Sulawesi Utara
380,Bolaang Mongondow Selatan,32460,22172,29058,25523,8336,25,Sulawesi Utara
381,Bolaang Mongondow Timur,23303,18815,18644,22465,9288,25,Sulawesi Utara
382,Kota Manado,0,0,0,0,419,25,Sulawesi Utara
383,Kota Bitung,1498,918,851,985,269,25,Sulawesi Utara
384,Kota Tomohon,10607,10036,9876,11427,4206,25,Sulawesi Utara
385,Kota Kotamobagu,20754,19673,18241,21105,18112,25,Sulawesi Utara
386,Banggai Kepulauan,232,4596,4857,4626,4694,26,Sulawesi Tengah
387,Banggai,9018,186760,202832,210362,169144,26,Sulawesi Tengah
388,Morowali,2167,46025,49406,50455,40125,26,Sulawesi Tengah
389,Poso,8317,94655,144393,159504,93395,26,Sulawesi Tengah
390,Donggala,5667,99464,105184,108848,82396,26,Sulawesi Tengah
391,Toli Toli,5417,105437,111813,112024,97555,26,Sulawesi Tengah
392,Buol,2092,39359,33220,37448,41976,26,Sulawesi Tengah
393,Parigi Moutong,11988,217517,226720,229069,176147,26,Sulawesi Tengah
394,Tojo Una-Una,799,8665,12551,12681,9404,26,Sulawesi Tengah
395,Sigi,7114,133046,128382,126700,160523,26,Sulawesi Tengah
